NLQ,GOLD_ANS,QUESTION_TYPE,SYSTEM_ANS,Unnamed: 4,GENERATED_CYPHER,DB_OUTPUT,IS_USEFUL,EVAL_REASON
Which dataset is Dr. Ananya Chatterjee planning to use for evaluating LIME/SHAP output?,1890s datasets,multi-hop,,,"MATCH (p:Person)-[:worksWith]->(d:Dataset)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"")
WITH DISTINCT d
MATCH (d)-[:usedFor]->(t:Task)
WHERE toLower(t.taskName) CONTAINS ""lime"" OR toLower(t.taskName) CONTAINS ""shap"" OR toLower(t.taskName) CONTAINS ""output"" OR toLower(t.taskName) CONTAINS ""evaluat""
RETURN DISTINCT d.datasetName","[{'d.datasetName': 'our current corpus subset'}, {'d.datasetName': 'clean corpus subset'}]",False,"The gold answer specifies '1890s datasets' while the database output lists 'our current corpus subset' and 'clean corpus subset'. These do not match or imply the 1890s datasets, so the raw output does not contain the correct information."
Is Dr. Ananya Chatterjee working on metadata standardization?,TRUE,reasoning,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"") AND toLower(t.taskName) CONTAINS toLower(""metadata"") OR toLower(t.taskName) CONTAINS toLower(""standardization"")
RETURN count(t) > 0 AS result",[{'result': True}],True,"The raw database output is True, which matches the expected Gold Answer TRUE, so it correctly satisfies the user’s question."
Has Sunita Sen published any papers on OCR correction tools?,FALSE,single-hop,,,"MATCH (p:Person)-[:hasAuthor]-(pa:Paper)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"")
WITH DISTINCT pa
MATCH (pa)-[:hasAuthor]->(p2:Person)
WHERE toLower(p2.personName) CONTAINS toLower(""Sunita Sen"")
WITH DISTINCT pa
MATCH (pa)-[:hasAuthor]->(p3:Person)
WHERE toLower(p3.personName) CONTAINS toLower(""Sunita Sen"")
WITH DISTINCT pa
WHERE toLower(pa.paperTitle) CONTAINS ""ocr"" OR toLower(pa.paperTitle) CONTAINS ""correction"" OR toLower(pa.paperTitle) CONTAINS ""tool""
RETURN count(pa) > 0 AS result",[{'result': True}],False,"The gold answer states that the correct answer is FALSE, but the raw database output returns True. Therefore, the database output does not match the correct information and is not useful."
Which dataset is being used by Sunita Sen for OCR correction method?,Chronicling America subset (1890–1900),multi-hop,,,"MATCH (p:Person)-[:worksWith]->(m:Method)-[:uses]->(d:Dataset)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") AND toLower(m.methodName) CONTAINS toLower(""OCR correction"")
RETURN DISTINCT d.datasetName",[{'d.datasetName': 'Chronicling America subset (1890–1900)'}],True,"The raw database output includes the dataset name 'Chronicling America subset (1890–1900)', which exactly matches the expected gold answer and correctly answers the user’s question about which dataset is being used."
Did Sunita Sen suggest providing manually corrected excerpts for analysis?,TRUE,reasoning,,,RETURN 'No valid path in schema' AS Error,[{'Error': 'No valid path in schema'}],False,"The database output only contains an error message ('No valid path in schema') and provides no information about whether Sunita Sen suggested providing manually corrected excerpts. Therefore, it does not contain the correct information to satisfy the user’s question compared to the Gold Answer (TRUE)."
What is the venue for the meeting scheduled on 23rd April?,Not available,not available,,,RETURN 'No valid path in schema' AS Error,[{'Error': 'No valid path in schema'}],True,"The gold answer indicates that the venue is not available, and the database output shows an error with no valid path, which effectively means the information cannot be retrieved. This aligns with the gold answer of 'Not available,' so the raw output is useful for satisfying the question."
Which task is Dr. Michael Bradley planning to demonstrate during the meeting?,OCR/post-processing pipeline demonstration,multi-hop,,,"MATCH (p:Person)-[:attends]->(m:Meeting), (p)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"")
RETURN DISTINCT t.taskName","[{'t.taskName': 'Temporal Sentiment Analysis project'}, {'t.taskName': 'prepare results from preliminary analyses'}, {'t.taskName': 'model and analyze temporal drift in sentiment'}, {'t.taskName': 'tracking historical semantic shift and sentiment drift'}, {'t.taskName': 'evaluation of models’ longitudinal generalizability'}, {'t.taskName': 'training a custom OCR correction model'}, {'t.taskName': 'metadata harmonization'}, {'t.taskName': 'downstream chronological analysis'}, {'t.taskName': 'probabilistic inference based on content or publication context'}, {'t.taskName': 'reviewing a targeted sample of the OCR-challenged segments'}, {'t.taskName': 'improve cleaning'}, {'t.taskName': 'tie in interpretability insights for downstream models'}, {'t.taskName': 'demonstration of correction workflow'}, {'t.taskName': 'data cleaning'}, {'t.taskName': 'comments and preliminary analysis'}, {'t.taskName': ""Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples)""}, {'t.taskName': 'Joint discussion: unified vs. dual metadata mapping schema; plan for next harmonization/annotation steps'}, {'t.taskName': 'Scheduling and discussion of next milestone (e.g., baseline model implementation, evaluation setup)'}, {'t.taskName': 'review recent files and memos'}, {'t.taskName': 'advancing baseline modeling'}, {'t.taskName': 'touch upon possible venues (conferences or journals) for ultimate submission'}, {'t.taskName': 'OCR Correction Workflow'}, {'t.taskName': 'prepare a clean corpus subset for subsequent modeling'}, {'t.taskName': 'Baseline Model Planning'}, {'t.taskName': 'draft the model configuration'}, {'t.taskName': 'share a jointly curated clean sample corpus'}, {'t.taskName': 'share draft model configuration'}, {'t.taskName': 'suggest further evaluation metrics'}, {'t.taskName': 'manual verification to ensure high textual fidelity and alignment with dual metadata mapping policies'}, {'t.taskName': 'upcoming baseline modeling'}, {'t.taskName': 'early May check-in'}, {'t.taskName': 'baseline model configuration and evaluation workflow draft'}, {'t.taskName': 'curating the clean corpus'}, {'t.taskName': 'defining evaluation metrics'}, {'t.taskName': 'metadata and data preparation'}, {'t.taskName': 'modeling'}, {'t.taskName': 'results benchmarking'}, {'t.taskName': 'proposed interpretability comparison protocols'}, {'t.taskName': 'refine evaluation benchmarks'}, {'t.taskName': 'include a small pilot with human annotators'}, {'t.taskName': 'collect brief feedback from actual historians or expert users on sample explanations'}, {'t.taskName': None}, {'t.taskName': 'cross-dataset transfer'}, {'t.taskName': 'discuss the annotation pipeline and author responsibilities'}, {'t.taskName': 'streamline submission plan'}, {'t.taskName': 'incorporate a limited human annotation pilot in interpretability evaluations'}, {'t.taskName': 'expert assessments by digital history collaborators'}, {'t.taskName': 'distribute draft on baseline mode... [TRUNCATED DUE TO SIZE]",True,"Yes. The database output contains the task ""Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples)"", which directly matches the expected answer of an OCR/post-processing pipeline demonstration."
What is the email address of Sunita Sen?,scholar.sunita@iacs.res.in,single-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") RETURN DISTINCT p.personEmail","[{'p.personEmail': 'scholar.sunita@iacs.res.in'}, {'p.personEmail': None}]",True,"The raw database output includes an entry with 'p.personEmail': 'scholar.sunita@iacs.res.in', which matches the expected gold answer exactly. The additional None value does not invalidate the presence of the correct email address."
Which researchers are involved in the meeting preparation for the paper submission?,"Michael Bradley, Sunita Sen, Ananya Chatterjee, Ramesh Bhatia",multi-hop,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE (toLower(t.taskName) CONTAINS ""meeting"" OR toLower(t.taskName) CONTAINS ""prepare"" OR toLower(t.taskName) CONTAINS ""preparation"")
RETURN DISTINCT p.personName","[{'p.personName': 'Prof. Ramesh Bhatia'}, {'p.personName': 'Dr. Michael Bradley'}, {'p.personName': 'Dr. Ananya Chatterjee'}, {'p.personName': 'Sunita Sen'}]",True,"The raw database output lists the same four people as the Gold Answer, with only title and formatting differences (Prof./Dr. prefixes). Therefore, it contains the correct information needed to answer the user’s question."
Is Ananya Chatterjee associated with University of Oxford?,TRUE,reasoning,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"") AND toLower(p.affiliation) CONTAINS toLower(""University of Oxford"") RETURN count(p) > 0 AS result",[{'result': True}],True,"The raw database output indicates `True`, which matches the Gold Answer of TRUE, so it correctly satisfies the user’s question."
"Where was the paper  ""NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers"" submitted to?",ACM Journal on Computing and Cultural Heritage (JOCCH),multi-hop,,,"MATCH (p:Paper)-[:hasAuthor]->(:Person), (s:SubmissionID)-[:identifies]->(p), (s)-[:inVenue]->(v)
WHERE toLower(p.paperTitle) CONTAINS toLower(""NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers"")
RETURN DISTINCT 
  CASE 
    WHEN v:Conference THEN v.confTitle
    WHEN v:Journal THEN v.journalTitle
    ELSE null
  END AS venue",The information could not be extracted from the KG.,False,"The database output says that the information could not be extracted and does not provide the venue name. It does not contain the correct answer (ACM Journal on Computing and Cultural Heritage), so it cannot satisfy the user’s question."
"Which tasks involve the dataset of ""british library""?","Temporal Sentiment Analysis in Historical Archives
Temporal Sentiment Analysis project
sentiment analysis
initial data processing
sentiment lexicon usage analysis
extraction of clean sentences for analysis
Cross-Dataset Generalizability
manual verification to ensure high textual fidelity and alignment with dual metadata mapping policies",single-hop,,,"MATCH (d:Dataset)-[:usedFor]->(t:Task)
WHERE toLower(d.datasetName) CONTAINS toLower(""british library"")
RETURN DISTINCT t.taskName","[{'t.taskName': 'Temporal Sentiment Analysis in Historical Archives'}, {'t.taskName': 'Temporal Sentiment Analysis project'}, {'t.taskName': 'sentiment analysis'}, {'t.taskName': 'initial data processing'}, {'t.taskName': 'sentiment lexicon usage analysis'}, {'t.taskName': 'extraction of clean sentences for analysis'}, {'t.taskName': 'Cross-Dataset Generalizability'}, {'t.taskName': 'manual verification to ensure high textual fidelity and alignment with dual metadata mapping policies'}]",True,"The raw database output lists exactly the same tasks as the Gold Answer, with matching task names. It therefore contains the correct information to fully satisfy the user’s question."
"Has the team submited their work ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" to a conference?",TRUE,reasoning,,,"MATCH (p:Paper)-[:hasAuthor]->(:Person), 
      (s:SubmissionID)-[:identifies]->(p), 
      (s)-[:inVenue]->(c:Conference)
WHERE toLower(p.paperTitle) CONTAINS toLower(""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"")
RETURN count(c) > 0 AS result",[{'result': True}],True,"The raw database output returns True, which matches the Gold Answer of TRUE, so it correctly satisfies the user’s question."
What are the evaluation metrics suggested for the baseline model?,Not available,not available,,,"MATCH (t:Task) WHERE toLower(t.taskName) CONTAINS ""baseline""
MATCH (m:Metric)-[:evaluates]->(t)
RETURN DISTINCT m.metricName","[{'m.metricName': 'accuracy'}, {'m.metricName': 'F1'}, {'m.metricName': 'historical lexicon recall'}, {'m.metricName': 'intrinsic evaluation protocols'}, {'m.metricName': 'extrinsic evaluation protocols'}, {'m.metricName': 'character error rate'}, {'m.metricName': 'word error rate'}, {'m.metricName': 'token-level accuracy'}, {'m.metricName': 'F1 score'}, {'m.metricName': 'adjusted historical vocabulary recall'}]",True,"The gold answer is 'Not available', but the question asks for the evaluation metrics suggested for the baseline model. The database output lists a set of metrics (accuracy, F1, historical lexicon recall, etc.), which directly answers the user’s question. Therefore, the raw database output is useful and contains the needed information, even though the gold answer is empty."
Which dataset was processed using Michael Bradley's latest OCR correction pipeline?,Clean Corpus Subset,multi-hop,,,"MATCH (p:Person)-[:worksWith]->(m:Method)-[:usedFor]->(d:Dataset)
WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"") AND toLower(m.methodName) CONTAINS toLower(""ocr correction"")
WITH d, m
ORDER BY m.methodName DESC
RETURN DISTINCT d.datasetName LIMIT 1",[],False,"The raw database output is an empty list and does not mention 'Clean Corpus Subset' or any dataset, so it does not provide the correct information to answer the question."
Did Sunita Sen collaborate with Michael Bradley on preparing a clean subset of the corpus?,TRUE,reasoning,,,"MATCH (p1:Person)-[:worksOn]->(t:Task)<-[:worksOn]-(p2:Person)
WHERE (toLower(p1.personName) CONTAINS toLower(""Sunita Sen"") AND toLower(p2.personName) CONTAINS toLower(""Michael Bradley""))
AND (toLower(t.taskName) CONTAINS ""clean"" OR toLower(t.taskName) CONTAINS ""subset"" OR toLower(t.taskName) CONTAINS ""corpus"" OR toLower(t.taskName) CONTAINS ""prepar"")
RETURN count(t) > 0 AS result",[{'result': True}],True,"The raw database output returns True, which matches the Gold Answer of TRUE, so it correctly satisfies the user’s question."
What is the publication year of the paper discussing the dual metadata mapping policies?,Not available,not available,,,"MATCH (pa:Paper) WHERE toLower(pa.paperTitle) CONTAINS toLower(""dual metadata mapping policies"") 
RETURN DISTINCT pa.paperTitle, pa.id",[],True,Both correctly identified missing information.
Has Dr. Ananya Chatterjee published in ACL or EMNLP?,TRUE,multi-hop,,,"MATCH (p:Person)-[:hasAuthor]-(pa:Paper)<-[:identifies]-(s:SubmissionID)-[:inVenue]->(c:Conference)
WHERE (toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee""))
  AND (toLower(c.confTitle) CONTAINS toLower(""ACL"") OR toLower(c.confTitle) CONTAINS toLower(""EMNLP""))
RETURN count(pa) > 0 AS result",[{'result': True}],True,"The raw database output returns True, which matches the expected Gold Answer of TRUE, so it correctly satisfies the user’s question."
What tasks are being proposed for evaluation using stretch evaluation goals in the project on which Dr. Michael Bradley is working?,cross-dataset transfer,multi-hop,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"")
  AND (toLower(t.taskName) CONTAINS ""stretch"" OR toLower(t.taskName) CONTAINS ""evaluation goal"")
RETURN DISTINCT t.taskName",[{'t.taskName': 'finalization of evaluation metrics & stretch goal feasibility'}],False,"The database output describes a task named 'finalization of evaluation metrics & stretch goal feasibility', which does not match the specific task 'cross-dataset transfer' given in the Gold Answer. Therefore it does not contain the correct information to answer the question."
What evaluation metrics are being used by Prof Ramesh Bhatia for the task of manuscript integration?,Not available,not available,,,"MATCH (p:Person)-[:worksOn]->(t:Task)<-[:evaluates]-(m:Metric)
WHERE toLower(p.personName) CONTAINS toLower(""Ramesh Bhatia"") AND toLower(t.taskName) CONTAINS toLower(""manuscript integration"")
RETURN DISTINCT m.metricName","[{'m.metricName': 'color-coded matrix'}, {'m.metricName': 'flagged consent conditions'}, {'m.metricName': 'data points highlighted with an asterisk'}, {'m.metricName': 'red-outline legend in Michael’s figures'}, {'m.metricName': 'narrative summary in the shared appendix folder'}, {'m.metricName': 'technical compliance commentary'}, {'m.metricName': 'sections 37B and 45C'}, {'m.metricName': 'extended legal citations and context'}, {'m.metricName': 'annotation metadata to clarify consent-specific logic for the figure captions'}, {'m.metricName': 'regional sensitivities and researcher obligations'}, {'m.metricName': 'third-party archival material and anonymization protocols'}, {'m.metricName': 'word count'}, {'m.metricName': 'regulatory nuance'}, {'m.metricName': 'reviewer transparency'}, {'m.metricName': 'pace of work'}, {'m.metricName': 'strength of revision'}]",False,"The gold answer indicates that the information is not available, meaning no valid evaluation metrics are known. The database output lists various items as if they are evaluation metrics, but given the gold standard of ‘Not available,’ these cannot be treated as correct or verified. Therefore, the raw output does not correctly satisfy the user’s question compared to the gold answer."
Has a paper been submitted to ACL by Prof. Ramesh Bhatia and his team?,TRUE,multi-hop,,,"MATCH (c:Conference) 
WHERE toLower(c.confTitle) CONTAINS toLower(""ACL"")
MATCH (p:Person)-[:hasAuthor]-(pa:Paper)<-[:identifies]-(s:SubmissionID)-[:inVenue]->(c)
WHERE toLower(p.personName) CONTAINS toLower(""Ramesh Bhatia"")
RETURN count(s) > 0 AS result",[{'result': True}],True,"The database output indicates result: True, which matches the expected Gold Answer TRUE. It correctly answers that a paper has been submitted, so it satisfies the user’s question."
What methods are being used in the interpretability experiments mentioned by Dr. Ananya Chatterjee?,"LIME, SHAP",single-hop,,,"MATCH (p:Person)-[:worksWith]->(m:Method), (m)-[:usedFor]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Ananya Chatterjee"") AND toLower(t.taskName) CONTAINS ""interpret"" 
RETURN DISTINCT m.methodName","[{'m.methodName': 'LIME'}, {'m.methodName': 'SHAP'}, {'m.methodName': 'temporal saliency mapping'}, {'m.methodName': 'attention visualization techniques in Transformer architectures'}, {'m.methodName': 'interpretability outputs on raw versus post-OCR-corrected text'}, {'m.methodName': 'faithfulness/clarity heatmaps'}, {'m.methodName': 'bar charts showing breakdowns of willingness scores by document artifact severity'}]",True,"The database output includes both LIME and SHAP among other methods. Since the user only asked which methods are being used and the gold answer is LIME and SHAP, the raw output contains the correct information needed to answer the question."
"Which conferences are being considered for the submission of the paper ""Deploying Synthetic Preview and Embargo Protocols for Multilingual Historical NLP Resources""?","ACL 2021, ACL 2021 Resource Track",multi-hop,,,"MATCH (p:Paper)-[:hasAuthor]->(:Person), 
      (s:SubmissionID)-[:identifies]->(p), 
      (s)-[:inVenue]->(c:Conference)
WHERE toLower(p.paperTitle) CONTAINS toLower(""Deploying Synthetic Preview and Embargo Protocols for Multilingual Historical NLP Resources"")
RETURN DISTINCT c.confTitle","[{'c.confTitle': 'ACL 2021'}, {'c.confTitle': 'ACL 2021 resource track'}]",True,"The database output lists 'ACL 2021' and 'ACL 2021 resource track', which correspond to the gold answer entries 'ACL 2021' and 'ACL 2021 Resource Track'. Despite minor casing differences, the essential conference information matches and fully satisfies the user’s question."
Does Dr. Ananya Chatterjee work with Sunita Sen on the interpretability project?,TRUE,reasoning,,,"MATCH (p1:Person)-[:worksOn]->(t:Task)<-[:worksOn]-(p2:Person)
WHERE (toLower(p1.personName) CONTAINS toLower(""Ananya Chatterjee"") AND toLower(p2.personName) CONTAINS toLower(""Sunita Sen""))
  AND (toLower(t.taskName) CONTAINS toLower(""interpretability""))
RETURN count(t) > 0 AS result",[{'result': True}],True,"The raw database output indicates `True`, which matches the Gold Answer of TRUE, so it correctly answers the user’s question."
"Which venue is Sunita Sen aiming to position the research work  on ""Language Variation and Accessibility: NLP Methods for Historical Question Answering with Cross-Dialectal Data""?",ACM Journal on Computing and Cultural Heritage (JOCCH),multi-hop,,,"MATCH (p:Person)-[:hasAuthor]-(pa:Paper)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") AND toLower(pa.paperTitle) CONTAINS toLower(""Language Variation and Accessibility: NLP Methods for Historical Question Answering with Cross-Dialectal Data"")
MATCH (sid:SubmissionID)-[:identifies]->(pa)
OPTIONAL MATCH (sid)-[:inVenue]->(c:Conference)
OPTIONAL MATCH (sid)-[:inVenue]->(j:Journal)
RETURN DISTINCT 
  coalesce(c.confTitle, j.journalTitle) AS venue","[{'venue': 'JOCCH'}, {'venue': 'ACM Journal on Computing and Cultural Heritage'}, {'venue': 'ACM JOCCH'}]",True,"The database output provides venue names that are equivalent or abbreviations of the Gold Answer (ACM Journal on Computing and Cultural Heritage (JOCCH)), so it contains the correct information needed to answer the question."
Is Sunita Sen available for a meeting on 3rd May at 3 PM IST?,TRUE,reasoning,,,"MATCH (p:Person)-[:attends]->(m:Meeting)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"")
  AND m.meetDate IS NOT NULL
  AND date(m.meetDate).month = 5
  AND date(m.meetDate).day = 3
  AND m.meetTime IS NOT NULL
  AND toLower(m.meetTime) CONTAINS toLower(""3 pm"")
RETURN count(m) = 0 AS result",[{'result': False}],False,"The gold answer indicates that Sunita Sen is available (TRUE), but the raw database output indicates she is not available (False). Therefore, the raw database output does not contain the correct information to satisfy the user’s question."
What institution is Dr. Michael Bradley affiliated with?,Stanford University,single-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Michael Bradley"") RETURN DISTINCT p.affiliation",[{'p.affiliation': 'Stanford University'}],True,"The raw database output lists the affiliation as 'Stanford University', which exactly matches the expected Gold Answer, so it contains the correct information to answer the user’s question."
Which paper of the team got published in JCDL 2022 ?,Cross-Institutional Protocols for Metadata and Embargo: An Integrated FAQ Annex,multi-hop,,,"MATCH (p:Paper)-[:hasAuthor]->(person:Person)-[:attends]->(conf:Conference)
WHERE toLower(conf.confTitle) CONTAINS ""jcdl"" AND conf.confDate CONTAINS ""2022""
WITH DISTINCT p
MATCH (sid:SubmissionID)-[:identifies]->(p)-[:hasAuthor]->(person)
MATCH (sid)-[:inVenue]->(conf)
WHERE toLower(conf.confTitle) CONTAINS ""jcdl"" AND conf.confDate CONTAINS ""2022""
RETURN DISTINCT p.paperTitle",[],False,"The database output is an empty list and does not contain the paper title or any relevant information, so it cannot satisfy the user’s question."
Will the initial draft of the baseline model configuration be distributed before the meeting on 3rd May?,TRUE,reasoning,,,RETURN 'No valid path in schema' AS Error,[{'Error': 'No valid path in schema'}],False,"The raw database output only reports an error ('No valid path in schema') and provides no information about whether the initial draft will be distributed before the meeting on 3rd May. It cannot be used to derive the TRUE answer, so it does not contain the correct information."
"Which conference is Dr. Ananya Chatterjee planning to submit the paper ""NLP Methods for Historical Data: Provenance and Bias Mitigation"" to?",ACL 2022,multi-hop,,,"MATCH (p:Paper)-[:hasAuthor]->(person:Person), (sid:SubmissionID)-[:identifies]->(p), (sid)-[:inVenue]->(conf:Conference)
WHERE toLower(person.personName) CONTAINS toLower(""Ananya Chatterjee"")
  AND toLower(p.paperTitle) CONTAINS toLower(""NLP Methods for Historical Data: Provenance and Bias Mitigation"")
RETURN DISTINCT conf.confTitle",[{'conf.confTitle': 'ACL 2022'}],True,"The raw database output contains 'ACL 2022' as the conference title, which matches the expected Gold Answer exactly and thus satisfies the user’s question."
What comparative methods do Ramesh Bhatia work with?,"comparative NLP analysis
comparative protocol table
legal comparative table
comparative legal matrix",multi-hop,,,"MATCH (p:Person)-[:worksWith]->(m:Method)
WHERE toLower(p.personName) CONTAINS toLower(""Ramesh Bhatia"") AND toLower(m.methodName) CONTAINS ""compar""
RETURN DISTINCT m.methodName","[{'m.methodName': 'comparative NLP analysis'}, {'m.methodName': 'comparative protocol table'}, {'m.methodName': 'legal comparative table'}, {'m.methodName': 'comparative legal matrix'}]",True,"The raw database output lists the same set of methods as the Gold Answer (comparative NLP analysis, comparative protocol table, legal comparative table, comparative legal matrix), so it contains the correct information to answer the question."
Has the pilot annotation exercise been submitted to a conference?,FALSE,multi-hop,,,"MATCH (t:Task) 
WHERE toLower(t.taskName) CONTAINS toLower(""pilot annotation"")
WITH t
MATCH (d:Dataset)-[:usedFor]->(t)
WITH t, d
MATCH (p:Person)-[:worksWith]->(d)
WITH t, d, p
MATCH (ppr:Paper)-[:hasAuthor]->(p)
WITH ppr
MATCH (sid:SubmissionID)-[:identifies]->(ppr)
MATCH (sid)-[:inVenue]->(c:Conference)
RETURN count(c) > 0 AS result",[{'result': False}],True,"The raw database output returns False, which matches the expected Gold Answer of FALSE, so it correctly satisfies the user’s question."
Who is responsible for the interpretability analysis in the ACL/EMNLP submission?,Dr. Ananya Chatterjee,multi-hop,,,"MATCH (c:Conference) 
WHERE toLower(c.confTitle) CONTAINS ""acl"" OR toLower(c.confTitle) CONTAINS ""emnlp""
WITH c
MATCH (s:SubmissionID)-[:inVenue]->(c)
MATCH (s)-[:identifies]->(pa:Paper)
MATCH (pa)-[:hasAuthor]->(p:Person)
MATCH (p)-[:worksOn]->(t:Task)
WHERE toLower(t.taskName) CONTAINS ""interpret"" AND t.taskName IS NOT NULL
RETURN DISTINCT p.personName, p.personEmail, p.affiliation","[{'p.personName': 'Dr. Ananya Chatterjee', 'p.personEmail': 'ananya.chatterjee@cs.ox.ac.uk', 'p.affiliation': 'University of Oxford'}, {'p.personName': 'Dr. Michael Bradley', 'p.personEmail': 'michael@cs.stanford.edu', 'p.affiliation': 'Stanford University'}, {'p.personName': 'Sunita Sen', 'p.personEmail': 'scholar.sunita@iacs.res.in', 'p.affiliation': 'Indian Association for the Cultivation of Science'}, {'p.personName': 'Prof. Ramesh Bhatia', 'p.personEmail': 'ramesh.bhatia@iacs.res.in', 'p.affiliation': 'Indian Association for the Cultivation of Science'}]",True,"The raw database output includes an entry for 'Dr. Ananya Chatterjee', which matches the expected gold answer and is sufficient to identify who is responsible for the interpretability analysis."
"Was the paper ""NLP Methods for Historical Data: Provenance and Bias Mitigation"" submitted to EMNLP?",FALSE,reasoning,,,"MATCH (p:Paper)-[:hasAuthor]->(:Person), 
      (s:SubmissionID)-[:identifies]->(p), 
      (s)-[:inVenue]->(c:Conference)
WHERE toLower(p.paperTitle) CONTAINS toLower(""NLP Methods for Historical Data: Provenance and Bias Mitigation"")
  AND toLower(c.confTitle) CONTAINS toLower(""EMNLP"")
RETURN count(s) > 0 AS result",[{'result': False}],True,"The raw database output indicates result: False, which matches the Gold Answer of FALSE, so it correctly answers the user’s question."
Does Ramesh Bhatia work with LIME and SHAP?,TRUE,single-hop,,,"MATCH (p:Person)-[:worksWith]->(m:Method)
WHERE toLower(p.personName) CONTAINS toLower(""Ramesh Bhatia"") AND (toLower(m.methodName) CONTAINS toLower(""lime"") OR toLower(m.methodName) CONTAINS toLower(""shap""))
RETURN count(m) > 0 AS result",[{'result': True}],True,"The raw database output is True, which matches the Gold Answer of TRUE, so it correctly satisfies the user’s question."
What are the metrics used to evaluate the LIME and SHAP models?,"explanation consistency scores, faithfulness indices, stability of explanations, qualitative assessment of explanations",multi-hop,,,"MATCH (m:Method)
WHERE toLower(m.methodName) CONTAINS toLower(""lime"") OR toLower(m.methodName) CONTAINS toLower(""shap"")
MATCH (metric:Metric)-[:evaluates]->(m)
RETURN DISTINCT metric.metricName","[{'metric.metricName': 'explanation consistency scores'}, {'metric.metricName': 'faithfulness indices'}, {'metric.metricName': 'stability of explanations'}, {'metric.metricName': 'quality of explanations'}, {'metric.metricName': 'faithfulness metrics'}]",True,"The database output lists the same core metrics as in the gold answer: explanation consistency scores, faithfulness indices (equivalent to faithfulness metrics), stability of explanations, and quality of explanations (a close match to qualitative assessment of explanations). Minor wording differences do not change the meaning, so it satisfies the user’s question."
Has Prof. Ramesh Bhatia co-authored any papers with Dr. Michael Bradley?,TRUE,reasoning,,,"MATCH (p1:Person)-[:hasAuthor]-(pa:Paper)-[:hasAuthor]-(p2:Person)
WHERE (toLower(p1.personName) CONTAINS toLower(""Ramesh Bhatia"") AND toLower(p2.personName) CONTAINS toLower(""Michael Bradley""))
   OR (toLower(p1.personName) CONTAINS toLower(""Michael Bradley"") AND toLower(p2.personName) CONTAINS toLower(""Ramesh Bhatia""))
RETURN count(pa) > 0 AS result",[{'result': True}],True,"The raw database output indicates `True`, which matches the Gold Answer of TRUE, so it correctly satisfies the user's question."
Which researchers are involved in the interpretability evaluation project?,"Sunita Sen, Dr. Michael Bradley, Dr. Ananya Chatterjee, Prof. Ramesh Bhatia",multi-hop,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(t.taskName) CONTAINS ""interpret"" OR toLower(t.taskName) CONTAINS ""evaluation""
RETURN DISTINCT p.personName","[{'p.personName': 'Dr. Ananya Chatterjee'}, {'p.personName': 'Dr. Michael Bradley'}, {'p.personName': 'Sunita Sen'}, {'p.personName': 'Prof. Ramesh Bhatia'}]",True,"The database output lists the same four researchers as the gold answer, just in a different order and with identical names. It fully satisfies the user’s question."
