:ID,meetAgenda,meetDate,meetLink,meetTime,:LABEL
mg240,"synthesizing our ideas; consolidating a clear, consortium-appropriate default policy for metadata sharing; discuss how to version the FAQ document going forward",15 November,,,Meeting
mg241,final 30-minute check-in to approve and submit the FAQ annex within November target,2022-11-25/26,,30-minute (time slots to be decided),Meeting
mg242,final check-in,2024-11-25/2024-11-26,Google Meet (to be circulated),14:00–16:00 GMT,Meeting
mg243,check-in to streamline open items including pending confirmation of RTI contacts and legal sign-off from each institution,2022-11-25,,14:30 GMT,Meeting
mg244,,,,,Meeting
mg245,final check-in and approve the annex for consortium submission,2022-11-25,,14:30 GMT,Meeting
mg246,final check-in; Final Language Review; Institutional sign-offs; Submission Package Readiness; Submission Logistics; Press Protocol Integration; Any Other Business,,https://meet.google.com/faq-jcdl-checkin,14:30 GMT,Meeting
mg247,JCDL 2022 FAQ Annex Final Check-in,2020-05-15,,14:30–15:20 GMT,Meeting
mg248,,,,,Meeting
mg249,adjudicate and harmonize changes to press release,,,20-minute slot,Meeting
mg250,harmonize any residual details and fix a synchronized release date,,,,Meeting
mg251,"finalize the announcement date, ensuring seamless coordination across international time zones and media teams",tomorrow,https://doodle.com/meet/JCDL2022-PressRelease-Coordination,,Meeting
mg252,"final synchronization call to confirm announcement timing, embargo logistics, and institutional points of contact",tomorrow,,,Meeting
mg253,"Final call before JCDL 2022 media launch; confirm coordinated announcement date/time, review embargo requirements, assign responsibilities for notifications and circulation, discuss backup protocols.",2020-08-16,https://stanford.zoom.us/j/82334712984,16:00 CET / 20:30 IST / 08:00 PT,Meeting
mg254,final coordination call; coordinated announcement schedule; embargo and point persons; all-clear communications; backup protocol,2020-08-16,,,Meeting
mg255,"program, media requests, or related conference communications coordination",,,,Meeting
mg256,,,,,Meeting
mg257,"45-minute strategy call focused on content/preparation for possible conference live session, outreach priorities, and task distribution ahead of the JCDL mainstage; brief review of media tracking results",2025-03-31,Zoom (to be set up),morning or afternoon GMT,Meeting
mg258,,,,,Meeting
mg259,strategy call for the JCDL 2022 live project spotlight; content focus for the live project spotlight; supplementary outreach; division of speaking and moderation roles; review of newsletter media analytics and press release timing; coordination on upcoming deadlines for JCDL mainstage contributions and associated communications,"Monday, 31 March",,11:30 GMT,Meeting
mg260,JCDL live project spotlight strategy meeting,,https://iacs-in.zoom.us/j/82839145230?pwd=YXB2TkNybXZLYnQ0Rms5QkVyM2tNdz09,11:30 GMT,Meeting
mg261,Zoom call and live spotlight session preparation,,,,Meeting
mg262,"Zoom run-through rehearsal to practice speaker transitions, gauge session timing, and troubleshoot technical aspects with slides or internet connectivity",2022-04-07/2022-04-10,Zoom (link TBD),30–40 minute window,Meeting
mg263,Zoom run-through rehearsal,2022-04-08,Zoom (link not specified),10:00–12:00 GMT,Meeting
mg264,"rehearsal session to address flows, transitions, and last-minute adjustments",2022-04-08,,10:00–12:00 GMT,Meeting
mg265,internal rehearsal for JCDL session; dry run of spotlight presentation,2022-04-08,,10:00–12:00 GMT,Meeting
mg266,JCDL 2022 Project Spotlight – Internal Dry Run,2022-09-06,https://ox-ac-zoom.us/j/95827416200?pwd=QkNlc0tYWjB5b3YwMmdGZ1JibDI0UT09,10:00—10:45 GMT,Meeting
mg267,short coordination call to streamline preparations for JCDL 2022 spotlight session,2022-04-15/2022-04-16,,,Meeting
mg268,coordination call for session logistics and technical requirements,2025-04-15/2025-04-16,,"11:00–13:00 IST (06:30–08:30 BST, 22:30–00:30 PDT the previous day)",Meeting
mg269,schedule team meeting to coordinate session summary and submission,15 April,Google Meet (to be circulated),11:30 IST,Meeting
mg270,coordination call to review and finalize session summary and speaker bios; discuss backup procedures for presentation delivery and asset sharing; confirm outreach to JCDL organizers; synchronize on next steps once formal acceptance arrives,15 April,https://meet.google.com/qzi-nrdf-kow,11:30 IST / 07:00 BST / 23:00 PDT,Meeting
mg271,coordination call to collectively review the session summary and asset checklist,,,11:30 IST,Meeting
mg272,plan JCDL attendance and related outreach activities,early June,,,Meeting
mg273,all-hands sync,2022-06-09/2022-06-13,,GMT afternoons (IST evenings/PST mornings),Meeting
mg274,tentative meeting pending notification,2020-06-10 to 2020-06-12,,PST mornings,Meeting
mg275,team call to discuss progress after JCDL notification,2025-06-10/2025-06-13,,IST evenings,Meeting
mg276,brief check-in to ensure alignment and address process bottlenecks,week of 6–9 May,,,Meeting
mg277,,,,,Meeting
mg278,brief team check-in,2022-05-07,Google Meet (invite to be circulated),12:00 noon BST / 4:30pm IST / 7:00am PST,Meeting
mg279,"check-in meeting to discuss blog post, error analysis research note, workshop planning, resources, and JCDL contingency planning",2022-05-01,,,Meeting
mg280,"event with live demonstration, interaction, participant-driven activities, breakout sessions, lightning talks, networking, and ethical/data responsibility segment",,,,Meeting
mg281,workshop/tutorial session (tentative time slot),,,4:00pm BST / 8:30pm IST / 8:00am PDT,Meeting
mg282,internal run-through to test live captioning and screen sharing on Zoom,2026-05-19,,,Meeting
mg283,,,,,Meeting
mg284,internal run-through to test survey distribution and breakout flows,19 May,,,Meeting
mg285,internal demo run-through and review initial outreach impacts and logistical concerns,2022-05-19,,,Meeting
mg286,"internal pre-event demo run-through; final rehearsal to ensure seamless transitions, technical reliability, and clarity of roles; overview of session flow; live demonstration of OCR error correction and NER modules; breakout room scenario test; accessibility features trial run; survey distribution/collection review; open floor for questions and troubleshooting",2020-10-11,https://stanford.zoom.us/j/95462137955?pwd=demo2022,13:00 BST / 17:30 IST / 5:00 PDT,Meeting
mg287,brief check-in call to finalize outstanding items and rehearse the contingency communications protocol together,24 May,,16:00 BST / 20:30 IST / 8:00 PDT,Meeting
mg288,"check-in call to collectively review remaining logistics, contingency communication protocol, and preliminary participant inquiry log",2026-05-24,,16:00 BST / 20:30 IST / 8:00 PDT,Meeting
mg289,today’s check-in call; live workshop/tutorial session preparation; internal rehearsal for the first breakout scenario,,,,Meeting
mg290,official pre-event communication to all registered participants,2022-05-26,main Zoom link; backup Google Meet,09:00 BST / 13:30 IST / 1:00 PDT,Meeting
mg291,,,,,Meeting
mg292,finalize Q&A strategy and confirm moderation roles,2022-05-28,,18:00 BST / 22:30 IST / 10:00 PDT,Meeting
mg293,"virtual huddle to group participant queries for live Q&A, finalize escalation protocol, and review overnight messages",2025-05-28,,18:00 BST / 22:30 IST / 10:00 PDT,Meeting
mg294,"huddle to discuss participant messages, accessibility, and citation protocols",today,,18:00 BST / 22:30 IST / 10:00 PDT,Meeting
mg295,final pre-workshop huddle and coordination call; moderation responsibilities and accessibility protocols for the upcoming event,2022-05-29,,,Meeting
mg296,"brief debrief session to review live session analytics, collect initial feedback, and identify next steps for documentation and publication",2022-06-01,https://iacs-in.zoom.us/j/89374269201?pwd=debrief2022,17:00 BST / 21:30 IST / 09:00 PDT,Meeting
mg297,debrief session to review workshop analytics and participant feedback,1 June,Zoom (provided link),17:00 BST / 21:30 IST / 09:00 PDT,Meeting
mg298,,,,,Meeting
mg299,check-in to make an informed decision regarding dual submission,2022-06-10,,afternoon (BST/IST),Meeting
mg300,review preliminary deadline and formatting comparison tables,2022-06-10,,,Meeting
mg301,sync call to discuss report and submission planning,2022-06-10,,evening IST / afternoon BST / late morning PDT,Meeting
mg302,"sync call to discuss agenda, literature review, and pros and cons of JCDL and JOCCH",2022-06-10,,"after 20:00 IST (15:30 BST, 07:30 PDT)",Meeting
mg303,10 June sync call,2024-06-10,,20:00 IST / 15:30 BST / 07:30 PDT,Meeting
mg304,"sync call to discuss drafting progress, challenges, lessons learned & recommendations, submission venue, internal timeline, final revisions, and logistical concerns",2025-06-10,,20:00 IST / 15:30 BST / 07:30 PDT,Meeting
mg305,upcoming sync call,10 June,,,Meeting
mg306,,,,,Meeting
mg307,"sync call to review agenda, section integration, submission priorities, and finalize submission venue and internal timeline",,Zoom,20:00 IST / 15:30 BST / 07:30 PDT,Meeting
mg308,short internal Zoom walkthrough; Rapid overview of final draft and supplementary files; Confirmation of author order and compliance statements; Checklist for JOCCH online submission portal; Q&A or concerns prior to upload,2025-06-24,https://oxford.zoom.us/j/92837462743?pwd=Q2pnV3dVZ2h0N0FQQUJHSkhxeTBzQT09,17:00 IST,Meeting
mg309,Zoom walkthrough to review author order and ensure compliance checklist completion,24 June,,17:00 IST,Meeting
mg310,short coordination call,next Thursday,,"16:00 IST (09:30 BST, 01:30 PDT)",Meeting
mg311,,,,,Meeting
mg312,1. Review and refine the draft reviewer response points in the “JOCCH2022_Reviewer_Response_Preparation” document. 2. Distribute action items around supplementary table references and artifact example preparation. 3. Discuss how best to articulate metric generalizability and modular codebase components in our responses. 4. Any additional items or concerns raised by the team ahead of the call.,2020-12-01,https://meet.google.com/zrm-jkpi-wgv,"16:00–16:45 IST (09:30–10:15 BST, 01:30–02:15 PDT)",Meeting
mg313,reviewer preparation call,2022-07-20,Google Meet,16:00–16:45 IST,Meeting
mg314,discussion for a potential grant proposal and possibly conference outreach,week of August 12th,,,Meeting
mg315,collaborative session focused first on grant proposal ideation and then on outlining the draft for a potential conference abstract,week of August 12,,,Meeting
mg316,grant proposal ideation and conference abstract drafting,2025-08-13/2025-08-15,,IST afternoons/evenings preferred,Meeting
mg317,collaborative session,2025-08-13,,afternoon IST / late morning BST / early morning PDT,Meeting
mg318,group meeting to review bibliography and funding call sections,2025-08-13/15,,,Meeting
mg319,collaborative session and brainstorming discussion,2022-08-13/2022-08-15,https://doodle.com/meeting/participate/Team-Session-Aug2022,,Meeting
mg320,"group discussion of EMNLP papers, dataset paper, EU funding, and JDoc special issue / JOCCH outcome",2025-08-13,,afternoon IST,Meeting
mg321,first half: grant proposal scoping; second half: finalizing core messages for potential conference abstract and parallel journal submission discussion,"Wednesday, August 13th",,3:30pm IST / 11:00am BST / 3:00am PDT,Meeting
mg322,Grant proposal discussion; conference abstract & parallel submission strategy; methodological synergies & open questions,"Wednesday, August 13th",https://us02web.zoom.us/j/88271927388?pwd=collabsession,3:30pm IST / 11:00am BST / 3:00am PDT,Meeting
mg323,Grant proposal discussion; conference & journal submission strategy; methodological synergies & open questions; action items & timeline,2020-12-24,,3:30pm IST / 11:00am BST / 3:00am PDT,Meeting
mg324,brief (10–15 min) group check-in targeting any cross-section integration concerns,August 19th,Google Meet,,Meeting
mg325,short Google Meet check-in,August 19,Google Meet (link not specified),3:00pm–5:00pm IST,Meeting
mg326,final screen-share review before submission,early December,Zoom,,Meeting
mg327,Zoom meeting to discuss paper revisions,between 2–6 December,,afternoons,Meeting
mg328,proposed Zoom meeting to coordinate final phase and camera-ready revision,2023-12-04/2023-12-05,,after 14:00 GMT,Meeting
mg329,live review of manuscript revisions,4 December / 5 December,https://doodle.com/meeting/participate/id/bkgd-Y9xn,after 14:00 GMT,Meeting
mg330,live Zoom review meeting,2025-12-04,,14:30 GMT,Meeting
mg331,submission checklist and portal walkthrough,4 December,,,Meeting
mg332,upcoming Zoom review; submission checklist and portal demo; run through the compliance metadata fields as a team,2023-12-04,Zoom,,Meeting
mg333,comprehensive submission review,4 December,,,Meeting
mg334,"final live walkthrough to address compliance metadata, author contribution declarations, and dataset licensing",2023-12-04,Zoom session,,Meeting
mg335,wrap up the submission phase and coordinate on subsequent responsibilities,2023-12-04,,14:30 GMT,Meeting
mg336,JCDL 2023 submission review and coordination meeting; compliance checklist discussion; preprint archiving options,4 December,https://ox-ac-uk.zoom.us/j/97824613570?pwd=abcd1234EfG,14:30 GMT,Meeting
mg337,"Zoom meeting to review JCDL submission package, compliance, contingency plan, dissemination strategy, and future research roles",,,,Meeting
mg338,"synchronize on progress, share feedback, and confirm all revision points have been comprehensively addressed",week of 4 March,,,Meeting
mg339,team meeting to coordinate revisions and scheduling via Doodle poll,week of 2023-03-04,,,Meeting
mg340,forthcoming internal review meeting,"2026-03-04/2026-03-05, after 2026-03-07",,,Meeting
mg341,focused internal review meeting,week of 4 March,https://doodle.com/meeting/participate/id/abcd1234,,Meeting
mg342,March meeting coordinated via Doodle poll,2023-03,,,Meeting
mg343,internal review meeting,,,,Meeting
mg344,"internal review meeting to finalize point-by-point response sheet, final validation, compliance cross-checks, and submission logistics",2021-06-18,https://zoom.us/j/9543217890?pwd=Z2JkYXpENllnTjU3Q0VwRjBxVzF1dz09,16:30 IST / 11:00 GMT / 03:00 PST,Meeting
mg345,,,,,Meeting
mg346,kick off the preparation and agree on the timeline for draft review,2023-04-01/2023-04-05,,,Meeting
mg347,virtual coordination meeting,2023-04-03,Zoom (invite to be created),20:30–22:00 IST (16:00–17:30 BST / 08:00–09:30 PDT),Meeting
mg348,virtual team discussion to kick-start session planning,2026-04-03,,20:30–22:00 IST (16:00–17:30 BST / 08:00–09:30 PDT),Meeting
mg349,"Coordination meeting: allocation of presentation roles, status updates on draft slides and supplementary materials, brainstorming Q&A topics, planning contingencies for session formats, and next steps for synchronizing slide design and rehearsals.",2021-07-11,https://stanford.zoom.us/j/94870123456?pwd=ZXhBTXp4UWdoWmZ0c2hNdz09,20:30–22:00 IST / 16:00–17:30 BST / 08:00–09:30 PDT,Meeting
mg350,Zoom coordination meeting for JCDL 2023 presentation and session assignment,2021-07-11,,,Meeting
mg351,rehearsal slot for JCDL 2023 presentation,2023-04-10,,,Meeting
mg352,JCDL 2023 rehearsal,,,,Meeting
mg353,"rehearsal dedicated to opening and closing remarks, as well as handling the audience Q&A",2023-04-18,,,Meeting
mg354,upcoming rehearsal for JCDL 2023 session,20 April,,6:30 PM IST,Meeting
mg355,"rehearsal with opening statements, session transitions, Q&A handling, closing segment, and contingency scenarios",2021-07-26,https://zoom.us/j/96837465123?pwd=LmHFhr64oyREheZV,6:30 PM IST | 2:00 PM BST | 6:00 AM California time,Meeting
mg356,rehearsal session for the JCDL 2023 session,,Zoom (invitation sent by Sunita),6:30 PM IST,Meeting
mg357,rehearsal for the upcoming JCDL 2023 presentation,,,,Meeting
mg358,JCDL 2023 presentation technical preparations,,,,Meeting
mg359,live JCDL 2023 presentation session,tomorrow,,,Meeting
mg360,"review audience feedback, discuss possible follow-up opportunities, and finalize the next journal submission plan",2023-04-28,,5:00 PM IST / 12:30 PM BST / 4:30 AM PDT,Meeting
mg361,"Debrief call to synthesize audience feedback, reflect on technical aspects of the presentation, explore collaboration opportunities, decide next publication steps, and confirm action items and timelines",2023-04-28,,5:00 PM IST / 12:30 PM BST / 4:30 AM PDT,Meeting
mg362,debrief call with agenda and action items as per Ramesh’s outline; review compiled audience questions and comments; 60-minute focused session,"Friday, 28 April",https://zoom.us/j/94715312680?pwd=JCDLdebrief2023,5:00 PM IST / 12:30 PM BST / 4:30 AM PDT,Meeting
mg363,debrief and discussion of suggested priorities and possible actionables,today,,,Meeting
mg364,,,,,Meeting
mg365,jointly outline the interface between semantic metrics and error taxonomy,2025-05-06,,,Meeting
mg366,Zoom sync to pin down cross-over points between error analysis and semantic metrics and ensure cohesive evaluation framework,2026-05-06,,15:00 BST / 07:00 PDT,Meeting
mg367,today's sync / Zoom session / syncronization call,,https://stanford.zoom.us/j/98123746715?pwd=QkNsd3FhS2FZbVh6Uk9GdWx0VktIQT09,15:00 BST/07:00 PDT,Meeting
mg368,,,,,Meeting
mg369,integration Zoom/Google Meet for final consolidation,2026-05-16,,14:30 IST,Meeting
mg370,,,,,Meeting
mg371,"consolidation meeting: rapid review of all peer-incorporated manuscript and appendix edits; resolution of flagged queries (e.g., entity overlap, dataset attributions); final ACM JOCCH compliance checklist walkthrough (including data/code statements); assignment of roles for the actual submission and metadata entry",16 May,,14:30 IST,Meeting
mg372,consolidation meeting and to summarize our final integration checklist in preparation for the ACM JOCCH submission,16 May,https://meet.google.com/nlp-histdata-final,14:30 IST / 10:00 CEST / 01:00 PDT,Meeting
mg373,review and refine the structure before beginning the documentation in earnest,,,,Meeting
mg374,internal review meeting once Sunita circulates the draft outline,week of 18 July,,,Meeting
mg375,brief internal review meeting to discuss Project Retrospective & Workflow Reference draft outline,2025-07-18/2025-07-21,Zoom (link to be circulated),45-minute (time TBD),Meeting
mg376,review meeting,2025-07-19/20,,14:00–18:00 BST (18:30–22:30 IST / 06:00–10:00 PDT),Meeting
mg377,upcoming review meeting,2025-07-19/2025-07-20,,06:00–09:30 PDT,Meeting
mg378,"Review meeting for Project Retrospective & Workflow Reference; overview of draft outline and feedback, review of workflow diagram, section-by-section review, discussion of lessons learned, and next steps",2025-07-19,,18:30 IST / 14:00 BST / 06:00 PDT,Meeting
mg379,Project Retrospective & Workflow Reference review; summary of the draft outline; visual workflow draft walkthrough; lesson highlights; oral summaries and actionable takeaways,2023-07-19,https://zoom.us/j/94763124839?pwd=bXRwQ1ZxbWw2WFZ0Y08wYVVrZzQ1QT09,18:30 IST / 14:00 BST / 06:00 PDT,Meeting
mg380,,,,,Meeting
mg381,,,,,Meeting
mg382,discuss feedback and progress on Project Retrospective & Workflow Reference,2025-08-01,,,Meeting
mg383,,,,,Meeting
mg384,final review meeting (timing to be reconfirmed),1 August,,,Meeting
mg385,finalize the documentation,2022-08-01,,,Meeting
mg386,"final sign-off, bibliography checks, and task allocation for remaining appendices or supplementary materials",2023-08-01,,,Meeting
mg387,,,,,Meeting
mg388,As outlined by Ramesh (see your previous email for detailed breakdown),2021-10-22,https://stanford.zoom.us/j/91456783412?pwd=NLPFinalReviewAug1,16:00 IST / 11:30 BST / 03:30 PDT,Meeting
mg389,clarify division of labor,next week,Zoom (link not specified),,Meeting
mg390,joint call,October 10 or 11,Zoom (link to be provided),IST late afternoon / UK morning / US early AM,Meeting
mg391,"discuss reviewers’ recommendations, dataset licensing, and priority issues",2024-10-10,,11:00 UK / 15:30 IST / 03:00 US Pacific,Meeting
mg392,joint call to coordinate our JOCCH revision efforts,10 October,https://zoom.us/j/9876543210?pwd=JOCCHTeam2023,11:00 UK / 15:30 IST / 03:00 US Pacific,Meeting
mg393,revision strategy for the JOCCH manuscript,2024-10-10,Zoom,,Meeting
mg394,next check-in (as needed),2024-10-27,,,Meeting
mg395,finalize the division of topics and clarify any institutional segments,early November,,,Meeting
mg396,"brief (30–40 min) call to facilitate efficient topic allocation and clarify expectations for each section; agenda includes finalizing section leads, incorporating feedback on appendices and supporting documentation, agreeing on a target completion date aligning with anticipated editorial feedback window from JOCCH, and updating on any new points from the submission portal",first week of November,https://doodle.com/meeting/participate/id/1234-reflection-memo,,Meeting
mg397,,,,,Meeting
mg398,"planning session call with agenda items including section lead assignment, appendices discussion, data-sharing recommendations, JOCCH editorial feedback, and drafting targets",,,,Meeting
mg399,"synchronous call to discuss reflection memo outline, section leads, responsibilities, and compliance/data access protocols",2023-11-06,https://stanford.zoom.us/j/98567354123?pwd=RefMemo2023,14:00 IST,Meeting
mg400,progress on the draft and final team review,2024-11-21,,same time slot,Meeting
mg401,allocate responsibilities for each major revision point and decide on a realistic timeline for draft updates,2022-03-03/2022-03-05,Zoom (link not specified),,Meeting
mg402,discuss ACL feedback and plan revision responsibilities,2022-03-03/2022-03-04,Zoom (link not specified),14:00–18:00 GMT,Meeting
mg403,"Zoom meeting to discuss automated annotation pipeline revisions, refine analysis on compliance and harmonization strategies, correct referencing inconsistencies, delineate tasks and deadlines",2022-03-04,,14:00–17:00 GMT,Meeting
mg404,revision planning Zoom meeting,2022-03-03,,15:00 GMT,Meeting
mg405,ACL revision planning session,2022-03-03,https://stanford.zoom.us/j/89521467258?pwd=Zk1hLzJvRUdBdDJURlAyR2ZwWXlGZz09,15:00 GMT,Meeting
mg406,focused and constructive meeting regarding our ACL 2023 revision,2022-03-03,Zoom (Stanford-hosted),15:00–16:05 GMT,Meeting
mg407,short organizational video call to align on divisions of labor,2024-03-01/2024-03-02,,,Meeting
mg408,coordination video call to review progress and resolve questions about camera-ready guidelines,2024-03-01,,after 14:00 GMT,Meeting
mg409,organizational call to address technical and editorial contingencies before the 9 March internal completion goal,2026-03-01,,14:30 GMT,Meeting
mg410,organizational call to finalize camera-ready preparations and plan for smooth submission,2025-03-01,,14:30 GMT,Meeting
mg411,organizational call and discussion of ACL camera-ready instructions,1 March,,14:30 GMT,Meeting
mg412,"discussion of access protocols, proceedings integration, reviewer access, and final coordinated tasks",today,,14:30 GMT,Meeting
mg413,organizational video call for final camera-ready preparations for ACL 2024,today,https://zoom.us/j/98237012654?pwd=Rmx3eHZtM2FJVU9KalRVSFpyaEhMUT09,14:30 GMT,Meeting
mg414,brief sync call to allow Ananya time to finalize her compliance check and document any necessary edits,2026-03-06,,12:30 GMT,Meeting
mg415,coordination call and review of compliance feedback,6 March,,12:30 GMT,Meeting
mg416,"sync call; rapid review of any outstanding checklist items, consensus on final Overleaf edits, repository metadata validation, and last steps for submitting the camera-ready packet",2024-03-06,,12:30 GMT,Meeting
mg417,"coordination call to finalize manuscript refinements, repository edits, and checklist sign-offs; lock in minor tweaks and review graphical abstract",,https://meet.google.com/acl-cam-ready2024,12:30 GMT,Meeting
mg418,camera-ready coordination call; meeting minutes and action items toward internal submission deadline and final camera-ready upload for ACL2024,2022-04-24,,12:30–13:30 GMT,Meeting
mg419,camera-ready coordination call,2026-03-06,,,Meeting
mg420,final review and sign-off before uploading all documents to the submission portal,2024-03-25,,,Meeting
mg421,walk through the submission packet and checklist one last time before upload,2024-03-25,,after 15:00 GMT,Meeting
mg422,final internal review,2024-03-25,,,Meeting
mg423,Zoom review for a quick walkthrough and final sign-off before uploading the full camera-ready package,2024-03-25,,,Meeting
mg424,"final Zoom review to cross-check each compliance item, upload the full camera-ready package, and address any last-minute portal issues",2025-03-25,,15:30 GMT,Meeting
mg425,"Section-by-section walkthrough of the final manuscript and supplementary files; Cross-check for formatting, references, and metadata completeness using the ACL validation script; Confirm copyright/licensing and presenter status; Final upload of the full camera-ready package to the ACL2024 portal",2024-03-25,Zoom,15:30 GMT,Meeting
mg426,Journal extension structure & division of new writing tasks; Dataset/resource paper logistics and timeline; Outreach to the broader historical NLP community; Preliminary organization of upcoming ACL2024 presentation,2024-04-24,,16:00 GMT,Meeting
mg427,"planning call for journal extension, resource-oriented outreach, digital resource hosting and tentative timeline",2024-04-24,,16:00 GMT,Meeting
mg428,"planning meeting for journal extension, dataset publication venues, timelines, outreach plans, and targeted digital humanities stakeholders",2025-04-24,,16:00 GMT,Meeting
mg429,planning call to set preliminary timeline and distribute writing and revision tasks,2025-04-24,,,Meeting
mg430,planning session,2024-04-24,,,Meeting
mg431,robust discussions and another round of productive collaboration,2026-04-24,,,Meeting
mg432,synthesizing everyone’s input ahead of our call,2025-04-24,,,Meeting
mg433,internal meeting to discuss datasets or metadata,2024-04-24,,,Meeting
mg434,"1. Review of written section drafts (focus on normalization guidelines, annotation protocol, licensing considerations)
2. Finalization of dataset hosting venue and DOI allocation strategy
3. Discussion and approval of the user study/survey (survey items, introduction, and planned dissemination channels)
4. Assignment of writing/editorial tasks for both journal extension and resource note submission
5. Timeline confirmation for draft revisions and tentative submission windows",2024-04-24,,,Meeting
mg435,,,,,Meeting
mg436,planning and internal review session,,,,Meeting
mg437,"address any final queries, discuss manuscript assembly logistics, and resolve outstanding checklist points",2026-05-11,,16:00–17:00 IST / 11:30–12:30 BST / 03:30–04:30 PDT,Meeting
mg438,Coordination call prior to 2 June draft deadline; walkthrough of remaining checklist items and manuscript assembly steps; discussion of final document compilation workflows and point persons; clarification of author order or contribution statement nuances; confirmation of Zenodo/embargoed data release logistics; contingencies for last-minute edits or required approvals,2024-05-11,https://ox-ac-uk.zoom.us/j/98617325481?pwd=JOCCHfinal27,16:00–17:00 IST / 11:30–12:30 BST / 03:30–04:30 PDT,Meeting
mg439,final coordination call; wrapping up residual queries before internal draft deadline,today,Zoom,16:00–17:00 IST,Meeting
mg440,virtual seminar for a broader audience showcasing key dataset features and annotation workflow innovations,later this autumn (October/November),,,Meeting
mg441,"finalize authorship and distribution for the preprint, and review the virtual seminar format options for October",third week of September,,,Meeting
mg442,virtual seminar with a practical walkthrough of data compliance/embargo pipelines and a panel Q&A focused on implementation in different institutional contexts,third week of September,,"18th–22nd, 15:00–19:00 IST (10:30–14:30 BST)",Meeting
mg443,virtual seminar and Q&A session,2024-09-18/2024-09-22,,16:00–18:00 IST,Meeting
mg444,primary seminar,2023-09-18/2023-09-22,Stanford Zoom,18:00–20:00 IST,Meeting
mg445,"short preparatory call to walk through structure, key talking points, and division of tasks for both outputs",2023-09-16,,,Meeting
mg446,,,,,Meeting
mg447,preparatory call,,,16:00–17:00 IST,Meeting
mg448,,,,,Meeting
mg449,,,,,Meeting
mg450,,,,,Meeting
mg451,,,,,Meeting
mg452,Stanford Zoom seminar,,https://stanford.zoom.us/meeting/register/tJ0tfuqhrTPoHd8h-pZHSyXA_NLP-HIST-2024,,Meeting
mg453,seminar on practical compliance and data release workflows for NLP on historical collections; outreach event; panel segment; moderated Q&A; soundcheck and role confirmation,,meet.google.com/abc-hist-nlp-2024,,Meeting
mg454,technical check and coordinate last-minute adjustments before the seminar,2024,,17:45 IST,Meeting
mg455,brief check-in to discuss whether to target ACM JOCCH or an upcoming conference call for submission,2024-09-21,,16:00 IST,Meeting
mg456,brief check-in today,,,16:00 IST,Meeting
mg457,,,,,Meeting
mg458,"brief consolidation meeting to efficiently steer manuscript to completion and agree on a final submission venue; rapid consolidation of outstanding revisions; venue decision between JOCCH journal and JCDL conference; timeline confirmation for final manuscript, figures, and supplementary appendix submission; planning for a parallel blog post or public preprint",25 September,,16:30 IST / 12:00 BST / 04:00 PDT,Meeting
mg459,"discuss final edits, venue selection, and supplementary outputs for the manuscript",2025-09-25,,16:30 IST,Meeting
mg460,consolidation meeting for the technical note; confirm integration of latest legal clarifications and workflow diagrams; discuss and decide between JOCCH and JCDL; establish manuscript and figures finalization schedule; strategize public communication: blog post and/or preprint planning,,https://meet.google.com/kjg-tqvp-hnm,16:30 IST / 12:00 BST / 04:00 PDT,Meeting
mg461,backup Zoom link for consolidation meeting,,https://stanford.zoom.us/j/82412390456?pwd=Wk5sTm1HZWx0bEk1,16:30 IST / 12:00 BST / 04:00 PDT,Meeting
mg462,"focused, productive discussion; meeting outcomes and action items",2022-10-15,,16:30 IST,Meeting
mg463,revision sprint planning call,2023-10-31,,17:00 IST / 12:30 BST / 04:30 PDT,Meeting
mg464,,,,,Meeting
mg465,,,,,Meeting
mg466,scheduled meeting to prepare for targeted discussion and confirm section updates and finalize the rebuttal outline,tomorrow,,,Meeting
mg467,revision sprint meeting; brief review of task division and progress; finalization of expanded methodological clarity subsection; review of preliminary tables and visualizations for evaluation metrics; outline and formatting options for legal framework comparative table; consolidation of supplementary material formats and upload strategy for the JOCCH portal; draft structure for point-by-point response letter; timeline review for final draft submissions and follow-up actions,today,https://stanford.zoom.us/j/96543218765?pwd=ZXNhdTdmLzBsdG93Tk1wQWpyU3EyUT09,17:00 IST / 12:30 BST / 04:30 PDT,Meeting
mg468,"focused 30-minute call to discuss methodology section, legal protocol matrix, comparative legal table, and transitioning legally nuanced content between main text and supplementary material",7 November,Google Meet (to be sent),16:00-18:00 IST (10:30–12:30 GMT),Meeting
mg469,focused call to discuss integration workflow for JOCCH revision,,,16:30–17:00 IST,Meeting
mg470,virtual planning meeting to finalize responsibility assignments and deliverable deadlines,2024-01-05,,16:00–17:00 IST,Meeting
mg471,discuss all current findings and draft materials,this Friday,,16:00–17:00 IST,Meeting
mg472,agenda and aligning schedules on milestones and document integration,2024-01-05,,16:00–17:00 IST,Meeting
mg473,planning meeting; task progress updates; integration strategies; workflow/deliverables; Q&A and contingency planning,2024-01-05,https://meet.google.com/rbe-ywgv-ucm,16:00–17:00 IST,Meeting
mg474,"Project revision progress, task updates, integration plan, formatting/workflow, contingency",2022-01-10,,16:00–17:00 IST,Meeting
mg475,collaborative drafting session for revised Section 4.2,2026-01-15/2026-01-16,,14:00–17:00 IST,Meeting
